SR No.,CompanyName,Post,JobID,Type,Location,Skills,AppliedThrough,DateApplied,Application Status,Application Notes,Comments
285,Think and Learn Pvt. Ltd,Analyst,,Full-Time,Bengaluru,"Analytical Skills, Analytics, Data Analysis, Data Analytics, and Microsoft Excel, Communication, Presentation Skills, Presentations, and Problem Solving",LinkedIn,08-03-2024,No Response,No response received,
286,Cashfree Payments,Data Analyst - I,,Full-Time,Bengaluru,Python (Programming Language) Â· SQL Â· Software as a Service (SaaS),LinkedIn,08-03-2024,No Response,No response received,
287,MAANG,Data Analyst,,Full-Time,Mumbai,"Analytical Skills, Data Analytics, and Statistics skills, Data Modeling and database management skills, SQL, Python,Tableau or Power BI",LinkedIn,09-03-2024,Proceed with Another Candidate,Consider other opportunities,
288,McCormick & Company,Business Analytics,,Full-Time,Hyderabad,"Python, Machine Learning, Google Sheets",LinkedIn,09-03-2024,No Response,No response received,
289,fascinatid,Analytics Analyst,,Part-Time,Remote,Analytical Skills Â· Analytics Â· Data Analysis Â· Data Analytics Â· Data Visualization Â· SAS (Software) Â· Statistical Modeling Â· Statistics Â· Communication Â· Problem Solving Â· Teamwork,LinkedIn,10-03-2024,No Response,No response received,
290,Sumo Logic,Data Analyst,,Full-Time,Bangalore,"TensorFlow, Python, Jupyter Notebook, Google Sheets",LinkedIn,10-03-2024,No Response,No response received,
291,Rekruton Technologies,Business Analyst,,Full-Time,Remote,"Track and report data, Build cross-functional partnerships, internally and externally, Manage budgets, Maintain a competitive market knowledge, Fluency in Microsoft Office suite (Outlook, Excel, Word, PowerPoint, etc.)  ",LinkedIn,11-03-2024,Proceed with Another Candidate,Consider other opportunities,
292,Rekruton Technologies,Data Analyst,,Full-Time,Remote,"SQL, Understand the day-to-day issues that our business faces, which can be better understood with data, Compile and analyze data related to business issues, Develop clear visualizations to convey complicated data in a straightforward fashion",LinkedIn,11-03-2024,No Response,No response received,
293,The Udaiti Foundation,Intern,,Internship (3 Months),Delhi,"Excel and PowerPoint, basic visualizations and documenting proper interpretations from the graph/data, Ability to clean and organize data",Official website,12-03-2024,No Response,No response received,
294,NielsenIQ,Data Processing Analyst,,Full-Time,Chennai,"Analytical Skills, Analytics, and Visualization, 7 skills missing on your profile
Attention to Detail, Collating, Communication, Computer Science, Manufacturing Process Improvement, Organization Skills, Problem Solving",Official website,12-03-2024,Rejected,Consider other opportunities,
295,Maple Capital Advisors,Data Analyst,,Full-Time,Bangalore,"Tableau, Python, Pandas",LinkedIn,12-03-2024,No Response,No response received,
296,Ciena,Data Operations Analyst,,Full-Time,Gurugram,"Data and Analytics related applications including Looker, PowerBI, Informatica, GitHub, Striim, and Snowflake. Python",Official website,13-03-2024,No Response,No response received,
297,Bytical,Data Analyst,,Part-Time,Remote,"Analytical Skills and Data Analytics, SQL, Python, Experience with statistical analysis and modelling, Data Modeling abilities",LinkedIn,13-03-2024,No Response,No response received,
298,WinZO,Data Engineer,,Part-Time,Hyderabad,"Google Sheets, Tableau, Jupyter Notebook, Statistics",Internshala,13-03-2024,No Response,No response received,
299,Cashfree Payments,Data Analyst - I,,Full-Time,Bengaluru,"Advanced SQL, Python data crunching, AWS quicksight, Tableau, Looker [Python (Programming Language) Â· SQL Â· Software as a Service (SaaS)]",LinkedIn,14-03-2024,No Response,No response received,
300,EarnIn,Data Science Intern,,Internship,Bengaluru,Data Visualization Â· Programming Â· Data Science Â· Data Analytics Â· Programming Languages Â· Algorithms Â· Data Structures Â· Communication Â· Computer Science Â· Key Metrics,LinkedIn,14-03-2024,No Response,No response received,
301,Jar,Data Analyst Intern,,Internship,Bengaluru,"Python Data Analysis Packages(Pandas, NumPy, Matplotlib, Scikit-Learn) is a must, Data Exploration and Visualisation with tools like Amplitude, Clevertap, MS Excel, Tableau, Power BI, etc",LinkedIn,14-03-2024,No Response,No response received,
302,WCG,Jr. Data & Analytics Engineer,,Full-Time,Remote,"Python, data manipulation and analysis using SQL, machine learning and deep learning frameworks (e.g., TensorFlow, PyTorch)",Official website,15-03-2024,No Response,No response received,
303,Johnson & Johnson,Data analyst â€“ Commercial Effectiveness,2406174230W,Full-Time,Pune,"Excel, Demonstrated proficiency with Data Science languages such as Python or R is strongly preferred,    Demonstrated proficiency in data visualization software like Tableau or Qlik",Official website,15-03-2024,No Response,No response received,
304,MAANG,Data Analyst,,Full-Time,Delhi,"SQL, Jupyter Notebook, Deep Learning",Indeed,15-03-2024,No Response,No response received,
305,Ivalua,Data Processing Analyst,,Full-time,WFH,"Google Sheets, Pandas, Data Analytics, Machine Learning",Naukri,15-03-2024,No Response,No response received,
306,Elite Met Solutions,Data Analyst / Analytics,,Full-Time,Chennai,"Advance in SQL and Excel, tableau,power bi, Python, Web Scraping (good to have)",LinkedIn,16-03-2024,No Response,No response received,
307,Innometrics Solutions,Software Developer,,Full-time,WFH,"Pandas, SQL, Python, NLP",Indeed,16-03-2024,No Response,No response received,
308,BharatX,Data Analyst,,Internship,Hyderabad,"TensorFlow, Jupyter Notebook, Data Analytics, Python",Indeed,18-03-2024,No Response,No response received,
309,noon,Analyst,,Internship,Bangalore,"TensorFlow, Python libraries (Matplotlib, Seaborn)",LinkedIn,18-03-2024,No Response,No response received,
310,Anthrofi,Junior Data Scientist,,Full-Time,Mumbai,"Deep Learning, SQL, TensorFlow",Naukri,19-03-2024,No Response,No response received,
311,Awesome Analytics,Machine Learning,,Full-time,Delhi,"Machine Learning, Python libraries (Matplotlib, Seaborn), Pandas",Indeed,19-03-2024,No Response,No response received,
312,MLH Agency,Data Scientist,,,Bangalore,"Jupyter Notebook, TensorFlow",Internshala,22-03-2024,Proceed with Another Candidate,Consider other opportunities,
313,Healofy,Business Analytics,,Contract (12 month),Hyderabad,"NLP, Python, Google Sheets, Deep Learning",LinkedIn,22-03-2024,No Response,No response received,
314,Winged Recruitment,Customer Support Data Analyst,,Full-time,Hyderabad,"Google Sheets, Python libraries (Matplotlib, Seaborn)",Internshala,24-03-2024,No Response,No response received,
315,Wrike,Business Analyst,,Full-Time,Delhi,"Python libraries (Matplotlib, Seaborn), Deep Learning, Tableau, Jupyter Notebook",Indeed,24-03-2024,No Response,No response received,
316,Cashfree Payments,Analyst,,Full-Time,WFH,"Python, Jupyter Notebook, Excel, Power BI",LinkedIn,25-03-2024,No Response,No response received,
317,Eli Lilly and Company,Customer Remediation Business Control Analyst,,Full-Time,WFH,"Python, Tableau, TensorFlow",LinkedIn,25-03-2024,No Response,No response received,
318,CloudHire,Data Analyst,,Full-Time,Hyderabad,"Python, SQL",Official Website,26-03-2024,Rejected,Consider other opportunities,
319,Lennox India Technology Centre,Data Analyst,,Full-Time,WFH,"Jupyter Notebook, Python, Data Analytics, Pandas",Naukri,27-03-2024,No Response,No response received,
320,YTViews Digital Media Private Limited,Data Analyst,,Full-Time,Delhi,"Deep Learning, Jupyter Notebook, Machine Learning",LinkedIn,28-03-2024,No Response,No response received,
321,Clue (Global),Data Analyst,,Full-Time,Mumbai,"Machine Learning, Python libraries (Matplotlib, Seaborn), SQL",LinkedIn,28-03-2024,No Response,No response received,
322,OneOrigin,Data Operations Analyst,,Full-Time,Bangalore,"Power BI, Excel",Official Website,29-03-2024,No Response,No response received,
323,NeoTech Solutions,Junior Data Analyst,,Full-Time,Hyderabad,"Google Sheets, TensorFlow",Official Website,31-03-2024,No Response,No response received,
324,Goodera,Data Analyst,,Full-Time,Hyderabad,"Python libraries (Matplotlib, Seaborn), Machine Learning",Internshala,01-04-2024,No Response,No response received,
325,Nagarro,Data Analyst,,Full-Time,Delhi,"NLP, Power BI, Python",Internshala,05-04-2024,No Response,No response received,
326,Wipro,Data Analyst - I,,Full-time,Delhi,"Tableau, Google Sheets",Naukri,05-04-2024,No Response,No response received,
327,Trailytics,Analyst,,Full-Time,WFH,"TensorFlow, Python, Pandas",LinkedIn,09-04-2024,No Response,No response received,
328,GreedyGame,Data Analyst,,Internship (2 Months),WFH,"TensorFlow, Machine Learning, Deep Learning, Data Analytics",Official Website,10-04-2024,Rejected,Consider other opportunities,
329,Maple Capital Advisors,Data Governance Analyst,,Full-time,Chennai,"Machine Learning, Statistics, Python libraries (Matplotlib, Seaborn)",Internshala,11-04-2024,No Response,No response received,
330,Ozibook Tech Solutions Private Limited,Data Science,,Full-Time,Delhi,"Tableau, Google Sheets, SQL, Machine Learning",Official Website,12-04-2024,No Response,No response received,
331,Virtualness,Data Visualization Analyst,,Full-time,Bangalore,"Excel, Pandas, Deep Learning, Jupyter Notebook",Official Website,12-04-2024,No Response,No response received,
332,Deliveroo,Data Analyst,,Full-Time,Bangalore,"Power BI, Python libraries (Matplotlib, Seaborn), Python",Indeed,15-04-2024,Rejected,Consider other opportunities,
333,Innovaccer,Data Analyst,,Full-time,Delhi,"Python libraries (Matplotlib, Seaborn), TensorFlow, Python",Internshala,15-04-2024,No Response,No response received,
334,Sybex Support Services,Data Analyst,,Internship,Bangalore,"Statistics, Power BI, SQL, NLP",Indeed,15-04-2024,No Response,No response received,
335,Pocket FM,Business Analytics,,Full-Time,WFH,"Power BI, Python libraries (Matplotlib, Seaborn), TensorFlow, Deep Learning",LinkedIn,16-04-2024,No Response,No response received,
336,Buddha Education Association Incorporation,Data Analyst,,Full-Time,Bangalore,"Power BI, Jupyter Notebook",Indeed,17-04-2024,No Response,No response received,
337,Pianalytix Edutech Private Limted,AI - Data Analytics - Text Analytics - Chatbot,,Internship (part-time),Bangalore,"Pandas, NLP, Machine Learning",LinkedIn,17-04-2024,Rejected,Consider other opportunities,
338,Deliveroo,Python Developer,,Internship with Job offer (1 Month),WFH,"Power BI, Statistics",Indeed,20-04-2024,Rejected,Consider other opportunities,
339,Congnizant,Junior Data Analyst (Python/Power BI),,Full-time,Hyderabad,"Machine Learning, Python",Official Website,21-04-2024,No Response,No response received,
340,WinZO,Data Analyst,,Full-time,WFH,"Excel, NLP, Python libraries (Matplotlib, Seaborn)",Naukri,21-04-2024,No Response,No response received,
341,JioSaavn,Business Analytics,,Full-time,Hyderabad,"Power BI, SQL, Machine Learning, Excel",Internshala,21-04-2024,No Response,No response received,
342,Gartner,Business Analyst,,Internship,Hyderabad,"Tableau, Google Sheets, NLP",Indeed,22-04-2024,No Response,No response received,
343,Maple Capital Advisors,Data Scientist,,Full-Time,Bangalore,"Power BI, Python, Python libraries (Matplotlib, Seaborn)",Naukri,24-04-2024,No Response,No response received,
344,BharatX,Data Analyst,,Full-time,WFH,"Pandas, Python libraries (Matplotlib, Seaborn)",Naukri,24-04-2024,No Response,No response received,
345,Maple Capital Advisors,Junior Data Analyst,,Internship (part-time),Mumbai,"Tableau, SQL",Internshala,24-04-2024,Rejected,Consider other opportunities,
346,Square Yards,Data Analyst Trainee,,Full-Time,WFH,"Python libraries (Matplotlib, Seaborn), Python, Pandas, Machine Learning",Naukri,25-04-2024,No Response,No response received,
347,Ciena,Data Analyst,,Internship (02 Months),Chennai,"Data Analytics, Python, Google Sheets, Jupyter Notebook",Naukri,25-04-2024,No Response,No response received,
348,Across The Globe (ATG),Technical Data Analyst,,Full-Time,WFH,"Jupyter Notebook, NLP",Indeed,29-04-2024,Proceed with Another Candidate,Consider other opportunities,
349,Ipsos,Data Engineer,,Contract,Mumbai,"Excel, Tableau",LinkedIn,01-05-2024,No Response,No response received,
350,Winged Recruitment,Data Analyst,,Full-Time,Delhi,"Power BI, Pandas, Google Sheets, Tableau",LinkedIn,01-05-2024,Rejected,Consider other opportunities,
351,MLH Agency,Data analyst â€“ Commercial Effectiveness,,Full-Time,Bangalore,"NLP, Excel",Internshala,04-05-2024,Rejected,Consider other opportunities,
352,krtrimaIQ Cognitive Solutions,Data Analyst,,Full-time,WFH,"NLP, Excel, Python libraries (Matplotlib, Seaborn)",Indeed,05-05-2024,No Response,No response received,
353,Advertalyst Private Limited,Data Analyst,,Internship,Hyderabad,"Excel, Python libraries (Matplotlib, Seaborn), Pandas",Internshala,07-05-2024,No Response,No response received,
354,Congnizant,Data analyst,,Full-time,Delhi,"Statistics, SQL, Google Sheets",Indeed,08-05-2024,No Response,No response received,
355,Goodera,Analyst,,Full-Time,Mumbai,"Excel, SQL",Naukri,09-05-2024,No Response,No response received,
356,IntouchCX,Python Developer,,Internship,Delhi,"Jupyter Notebook, Python",LinkedIn,09-05-2024,No Response,No response received,
357,Ipsos,Data Analyst,,Full-time,Hyderabad,"Data Analytics, Excel, TensorFlow, Deep Learning",LinkedIn,10-05-2024,No Response,No response received,
358,Healofy,Data Analyst,,Full-time,Hyderabad,"NLP, Power BI",Naukri,11-05-2024,No Response,No response received,
359,17live,Data Analyst,,Full-time,WFH,"Deep Learning, Excel, Tableau",Naukri,11-05-2024,No Response,No response received,
360,Cashfree Payments,Data Analyst,,Internship (6 months),Chennai,"Power BI, Tableau, Machine Learning, NLP",Official Website,11-05-2024,No Response,No response received,
361,Ivalua,Data Analytics Trainee,,Full-Time,Chennai,"Tableau, Python libraries (Matplotlib, Seaborn)",Official Website,12-05-2024,No Response,No response received,
362,Innometrics Solutions,Data analyst,,Full-Time,Chennai,"Deep Learning, Python libraries (Matplotlib, Seaborn), TensorFlow",Internshala,12-05-2024,No Response,No response received,
363,Aris Infra,Data Analyst,,Full-Time,WFH,"TensorFlow, NLP, Google Sheets",LinkedIn,13-05-2024,No Response,No response received,
364,Different Hair Pvt. Ltd,Big Data Executive,,Full-time,Hyderabad,"Google Sheets, Deep Learning, Pandas, Jupyter Notebook",Indeed,13-05-2024,No Response,No response received,
365,sugar.fit,Business Analytics,,Internship (6 months),Delhi,"Machine Learning, Excel, Jupyter Notebook, Python libraries (Matplotlib, Seaborn)",Indeed,16-05-2024,Rejected,Consider other opportunities,
366,Zyla Health,Analyst Data Science,,Full-time,WFH,"SQL, Pandas, NLP, Python",Official Website,16-05-2024,No Response,No response received,
367,Morningstar,Junior Data Analyst,,Full-Time,Delhi,"Python libraries (Matplotlib, Seaborn), SQL",Naukri,18-05-2024,Rejected,Consider other opportunities,
368,InfiHire,Machine Learning,,Full-time,Chennai,"NLP, Excel",Internshala,18-05-2024,No Response,No response received,
369,O1Labs.ai,Analyst,,Full-Time,Hyderabad,"Excel, Python libraries (Matplotlib, Seaborn), SQL",Indeed,19-05-2024,Proceed with Another Candidate,Consider other opportunities,
370,Rekruton Technologies,Data Analyst,,Full-Time,Mumbai,"SQL, Python libraries (Matplotlib, Seaborn), Deep Learning",LinkedIn,20-05-2024,No Response,No response received,
371,Louis Dreyfus Company,unior Data Engineer,,Full-time,Mumbai,"Tableau, Jupyter Notebook, Machine Learning",Internshala,23-05-2024,No Response,No response received,
372,Gaan Software,Data Analyst / Data Scientist,,Full-Time,Delhi,"Data Analytics, Machine Learning, Tableau, Google Sheets",Indeed,23-05-2024,No Response,No response received,
373,Clue (Global),Microsoft Power BI,,Full-time,Hyderabad,"Power BI, Deep Learning, Data Analytics",LinkedIn,24-05-2024,No Response,No response received,
374,Cleantech Solar,Data Analyst,,Full-Time,Mumbai,"Jupyter Notebook, Machine Learning, NLP",Official Website,26-05-2024,No Response,No response received,
375,Clue (Global),Big Data Executive,,Internship (3 Months),WFH,"Deep Learning, Power BI, NLP, Python libraries (Matplotlib, Seaborn)",Naukri,27-05-2024,No Response,No response received,
376,Findem,Business Systems Analyst,,Full-time,Chennai,"Excel, Power BI",Official Website,27-05-2024,No Response,No response received,
377,Wipro,Intern - Data Operations,,Full-Time,Bangalore,"NLP, SQL, Excel",Naukri,27-05-2024,No Response,No response received,
378,Silverline Prestige School Part Of Silverline Educ Silverline Education Trust,Artificial Intelligence (AI),,Full-time,Hyderabad,"NLP, Jupyter Notebook, Google Sheets",Indeed,31-05-2024,No Response,No response received,
379,NielsenIQ,Data Analytics Executive,,Full-time,Chennai,"Python libraries (Matplotlib, Seaborn), Python",Official Website,02-06-2024,Proceed with Another Candidate,Consider other opportunities,
380,Innometrics Solutions,Officer Business Analytics,,Internship  ,Chennai,"Google Sheets, SQL, Data Analytics",LinkedIn,03-06-2024,No Response,No response received,
381,Eduvanz,Data Analyst,,Full-Time,Bangalore,"Python libraries (Matplotlib, Seaborn), Python",Indeed,04-06-2024,No Response,No response received,
382,Eli Lilly and Company,Data Analyst (Fresher / Python/SQL Expert),,Full-Time,Bangalore,"Python, Excel, Jupyter Notebook, TensorFlow",Naukri,05-06-2024,No Response,No response received,
383,Siemens Healthineers,Tech Data Analyst,,Part-Time,Mumbai,"Pandas, Tableau",Naukri,05-06-2024,Proceed with Another Candidate,Consider other opportunities,
384,Vikatan Group,Big Data Associate,,Full-Time,WFH,"Tableau, Python libraries (Matplotlib, Seaborn)",Indeed,09-06-2024,No Response,No response received,
385,Benovymed Healthcare,Data Analyst,,Full-time,Bangalore,"SQL, Deep Learning, NLP, Tableau",LinkedIn,09-06-2024,No Response,No response received,
386,ASAPP,Officer Business Analytics,,Full-Time,WFH,"Google Sheets, Excel",LinkedIn,10-06-2024,No Response,No response received,
387,Pianalytix Edutech Private Limted,Data analyst,,Full-Time,WFH,"NLP, Machine Learning, Data Analytics, SQL",Indeed,10-06-2024,No Response,No response received,
388,sugar.fit,Data Analyst,,Full-Time,WFH,"Statistics, Power BI",Official Website,10-06-2024,No Response,No response received,
389,NielsenIQ,Microsoft Power BI,,Internship,Chennai,"Pandas, Data Analytics, Power BI, NLP",LinkedIn,11-06-2024,No Response,No response received,
390,CloudHire,Data Support Analyst,,Full-Time,Delhi,"SQL, Excel, Jupyter Notebook",Naukri,12-06-2024,No Response,No response received,
391,JLL,Data Analyst,,Full-Time,Chennai,"Python, Pandas",LinkedIn,13-06-2024,No Response,No response received,
392,Arcadis,Data Analyst,,Full-Time,WFH,"Python libraries (Matplotlib, Seaborn), TensorFlow",LinkedIn,13-06-2024,Rejected,Consider other opportunities,
393,KreditBee,Data Science,,Internship (02 Months),Bangalore,"Data Analytics, Deep Learning, Excel",Internshala,14-06-2024,No Response,No response received,
394,Terrabit Consulting,Decision Analytics Associate,,Full-Time,Mumbai,"Pandas, Data Analytics, Excel, Tableau",Indeed,15-06-2024,No Response,No response received,
395,Luminos Technology,Analyst - Data Analyst,,Full-Time,Hyderabad,"NLP, Python, Deep Learning, TensorFlow",Internshala,16-06-2024,No Response,No response received,
396,YTViews Digital Media Private Limited,Machine Learning,,Internship,Mumbai,"SQL, Python libraries (Matplotlib, Seaborn), Tableau",Official Website,16-06-2024,No Response,No response received,
397,Tata Technologies,Data Processing Analyst,,Full-time,Hyderabad,"Statistics, Python libraries (Matplotlib, Seaborn), Python, Machine Learning",Official Website,17-06-2024,No Response,No response received,
398,TekJobs,Data Analyst,,Full-time,Mumbai,"Excel, Data Analytics, Python libraries (Matplotlib, Seaborn), Machine Learning",LinkedIn,17-06-2024,No Response,No response received,
399,The Udaiti Foundation,Business Analyst,,Full-Time,Chennai,"Deep Learning, Python libraries (Matplotlib, Seaborn)",Internshala,18-06-2024,No Response,No response received,
400,Snowflake,Data Science Intern,,Full-Time,Chennai,"TensorFlow, Python, SQL",Official Website,18-06-2024,No Response,No response received,
401,IntouchCX,Business/Data Analyst (Excel),,Full-time,Mumbai,"Pandas, Python, SQL",LinkedIn,19-06-2024,No Response,No response received,
402,Synopsys,Data Analyst,,Full-Time,Hyderabad,"Power BI, Python",Indeed,19-06-2024,Proceed with Another Candidate,Consider other opportunities,
403,Vikatan Group,Data Analyst,,Full-Time,Hyderabad,"Excel, Statistics, NLP, Machine Learning",LinkedIn,19-06-2024,No Response,No response received,
404,Healofy,Data Analyst,,Internship (part-time),Chennai,"Deep Learning, SQL, Pandas",Internshala,20-06-2024,No Response,No response received,
405,Citi Bank,Data Analyst (Fresher Trainee),,Full-Time,Chennai,"Power BI, Python",Official Website,21-06-2024,No Response,No response received,
406,OneOrigin,Data Analyst,,Full-Time,WFH,"Deep Learning, Google Sheets, Python libraries (Matplotlib, Seaborn), SQL",Internshala,21-06-2024,Proceed with Another Candidate,Consider other opportunities,
407,MakeMyTrip,Tech Data Analyst,,Full-Time,WFH,"SQL, Data Analytics, Power BI, Python libraries (Matplotlib, Seaborn)",LinkedIn,22-06-2024,No Response,No response received,
408,Radix,Data Analyst / Analytics,,Full-time,Mumbai,"Pandas, SQL, Power BI, NLP",Indeed,22-06-2024,Proceed with Another Candidate,Consider other opportunities,
409,TCS,Data Analyst,,Internship (part-time),Mumbai,"Tableau, NLP",Official Website,22-06-2024,No Response,No response received,
410,Vikatan Group,Data Analyst,,Full-time,Chennai,"Machine Learning, Jupyter Notebook",Naukri,24-06-2024,Rejected,Consider other opportunities,
411,noon,Data Analyst,,Full-Time,Chennai,"Google Sheets, Python, Python libraries (Matplotlib, Seaborn), Machine Learning",Indeed,24-06-2024,No Response,No response received,
412,iTech,Data Analyst,,Internship (3 Months),WFH,"Statistics, SQL, Jupyter Notebook, Google Sheets",LinkedIn,24-06-2024,Proceed with Another Candidate,Consider other opportunities,
413,Advertalyst Private Limited,Data Analyst Trainee,,Full-Time,Chennai,"SQL, Jupyter Notebook",Official Website,24-06-2024,No Response,No response received,
414,Innometrics Solutions,Business/Data Analyst (Excel),,Full-Time,WFH,"NLP, SQL, TensorFlow, Power BI",LinkedIn,25-06-2024,No Response,No response received,
415,Innometrics Solutions,Data Analytics / Analyst,,Full-time,Hyderabad,"Statistics, NLP",LinkedIn,25-06-2024,No Response,No response received,
416,Goodera,Data & Analytics Business Analyst,,Contract (12 month),Chennai,"Deep Learning, Excel, Pandas, Statistics",LinkedIn,27-06-2024,No Response,No response received,
417,Phonepe,Data Analyst,,Full-Time,Hyderabad,"Python libraries (Matplotlib, Seaborn), Jupyter Notebook, Pandas, NLP",Naukri,27-06-2024,No Response,No response received,
418,Hindustan SWM Solutions Pvt Ltd,Analyst ,,Full-time,Mumbai,"Excel, Pandas",Indeed,27-06-2024,No Response,No response received,
419,Terrabit Consulting,Analyst,,Internship (part-time),WFH,"Jupyter Notebook, Python, Machine Learning",LinkedIn,28-06-2024,No Response,No response received,
420,Innovaccer,Data Analytic | Business Analytics,,Full-Time,Mumbai,"Pandas, Excel, Jupyter Notebook",Naukri,29-06-2024,No Response,No response received,
421,BayOne Solutions,,,Full-Time,Hyderabad,"Excel, Jupyter Notebook, Pandas",LinkedIn,01-07-2024,No Response,No response received,
422,Cleantech Solar,Business Systems Analyst,,Full-Time,Mumbai,"NLP, Deep Learning",Internshala,01-07-2024,Rejected,Consider other opportunities,
423,Awesome Analytics,AI - Data Analytics - Text Analytics - Chatbot,,Full-Time,Delhi,"NLP, Excel, Pandas",Internshala,01-07-2024,Proceed with Another Candidate,Consider other opportunities,
424,Adtitude Digital,Trainee - Development,,Full-Time,Delhi,"Python libraries (Matplotlib, Seaborn), Tableau, Jupyter Notebook",Official Website,01-07-2024,No Response,No response received,
425,Rekruton Technologies,Data Analyst,,Full-Time,Chennai,"Statistics, Tableau, Excel, Data Analytics",Indeed,02-07-2024,Proceed with Another Candidate,Consider other opportunities,
426,Jambudweep Shodh Kendra,Data Analytics,,Full-Time,Delhi,"Excel, Tableau, Data Analytics, Statistics",LinkedIn,02-07-2024,No Response,No response received,
427,Square Yards,Technical - Intern,,Full-Time,WFH,"Power BI, Machine Learning, SQL",LinkedIn,03-07-2024,Rejected,Consider other opportunities,
428,Bootes Impex Tech Ltd.,Data Analyst,,Contract,Delhi,"Jupyter Notebook, Statistics, Machine Learning, Google Sheets",Indeed,04-07-2024,No Response,No response received,
429,Buddha Education Association Incorporation,Data Analyst,,Full-time,Mumbai,"SQL, Google Sheets, Power BI, Jupyter Notebook",Indeed,06-07-2024,No Response,No response received,
430,MentorBoxx,Data Scientist,,Internship,Mumbai,"Python, TensorFlow",Official Website,08-07-2024,No Response,No response received,
431,Winged Recruitment,Data Analyst,,Full-Time,WFH,"Python, Excel, NLP",LinkedIn,08-07-2024,No Response,No response received,
432,Across The Globe (ATG),Software Developer,,Full-Time,Bangalore,"Excel, Deep Learning, Pandas, Data Analytics",Internshala,09-07-2024,No Response,No response received,
433,Technofactorx AI,Data Analyst,,Full-time,Delhi,"Google Sheets, Excel, Deep Learning, Data Analytics",Indeed,10-07-2024,No Response,No response received,
434,Bytical,Analyst,,Full-Time,Hyderabad,"TensorFlow, Machine Learning, Statistics",Official Website,12-07-2024,Rejected,Consider other opportunities,
435,The Investment Compass,unior Data Engineer,,Internship,Mumbai,"TensorFlow, SQL",Indeed,14-07-2024,No Response,No response received,
436,Confidential,Data Analyst,,Internship (02 Months),Delhi,"Tableau, Python libraries (Matplotlib, Seaborn)",Official Website,14-07-2024,No Response,No response received,
437,V5 Global Services Private Limited,Principal Data Scientist/Senior Data Scientist/Data Scientist - NLP/ML,,Full-time,Chennai,"Python, Jupyter Notebook, SQL",Internshala,16-07-2024,No Response,No response received,
438,Akamai Technologies,Data Analyst,,Full-Time,Delhi,"Excel, Statistics",LinkedIn,17-07-2024,No Response,No response received,
439,BharatX,Data Labs Intern,,Full-time,Hyderabad,"Google Sheets, Power BI",Internshala,18-07-2024,No Response,No response received,
440,AKS ProTalent,Data Scientist,,Full-Time,Chennai,"Deep Learning, Excel, NLP",Official Website,19-07-2024,No Response,No response received,
441,Innovaccer,Data analyst,,Full-Time,Mumbai,"Jupyter Notebook, Deep Learning",LinkedIn,19-07-2024,No Response,No response received,
442,Elite Met Solutions,Business Analyst,,Internship,Chennai,"Pandas, TensorFlow, Power BI",Naukri,20-07-2024,No Response,No response received,
443,LatentView,Data Processing Analyst,,Full-time (3 Month),WFH,"SQL, Tableau, Deep Learning",Official Website,21-07-2024,No Response,No response received,
444,OneOrigin,Data Analyst,,Full-time,Mumbai,"NLP, Statistics",Indeed,21-07-2024,No Response,No response received,
445,BharatX,Data Analyst,,Full-Time,Bangalore,"SQL, Jupyter Notebook, Pandas",Official Website,22-07-2024,No Response,No response received,
446,ENZER COMPONENTS LIMITED,Data Analyst,,Full-time,Mumbai,"TensorFlow, Data Analytics",Internshala,23-07-2024,No Response,No response received,
447,Sumo Logic,Data Analyst / Data Scientist,,Internship (3 Months),Chennai,"Python libraries (Matplotlib, Seaborn), TensorFlow, Tableau",Indeed,23-07-2024,No Response,No response received,
448,V5 Global Services Private Limited,Junior Data Analyst,,Full-Time,WFH,"NLP, Jupyter Notebook",Internshala,23-07-2024,No Response,No response received,
449,MedTourEasy,Data Analytics,,Internship,Mumbai,"Excel, NLP, Python libraries (Matplotlib, Seaborn)",Naukri,25-07-2024,No Response,No response received,
450,Wipro,Customer Support Data Analyst,,Internship (part-time),Delhi,"Statistics, SQL, Jupyter Notebook, Data Analytics",Naukri,25-07-2024,No Response,No response received,
451,RazorPay,Data Analyst,,Full-Time,Bangalore,"Pandas, Tableau",Internshala,27-07-2024,No Response,No response received,
452,Akamai Technologies,Data Analyst,,Internship (3 Months),Delhi,"SQL, Pandas, TensorFlow, Statistics",Internshala,28-07-2024,No Response,No response received,
453,Peroptyx,Data Scientist- Junior / Senior MNC,,Full-time,Chennai,"Machine Learning, Python libraries (Matplotlib, Seaborn), NLP",Indeed,28-07-2024,No Response,No response received,
454,Bytical,Data Analyst,,Full-Time,Delhi,"Pandas, Tableau, NLP",Internshala,28-07-2024,No Response,No response received,
455,Rotork,Data Analytics Executive,,Full-time,WFH,"Excel, TensorFlow",LinkedIn,30-07-2024,No Response,No response received,
456,ANAXT SYSTEM,Junior Data Analyst (Python/Power BI),,Internship,Hyderabad,"Machine Learning, Deep Learning, Tableau, Statistics",LinkedIn,30-07-2024,Rejected,Consider other opportunities,
457,Agrim Wholesale,Artificial Intelligence (AI),,,Mumbai,"Python libraries (Matplotlib, Seaborn), Statistics",Naukri,31-07-2024,No Response,No response received,
458,TestGrid.io,Data Analyst,,Full-Time,Delhi,"Google Sheets, Data Analytics",Naukri,03-08-2024,No Response,No response received,
